clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
epa-1006347,Hormel Foods Corporation,commercial_solar,Austin,MN,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311612. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003545,"Horn Mountain Mms Platform Id 02481, Complex Id 876-1",commercial_solar,Offshore,LA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007090,Horn Rapids Landfill,commercial_solar,Richland,WA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003394,Horry County Solid Waste Authority Incorporated,commercial_solar,Conway,SC,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004424,Horsehead Corp. Monaca Smelter,commercial_solar,Monaca,PA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331492. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000859,Horseshoe Lake,commercial_solar,Harrah,OK,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013901,Horseshoe Treater,commercial_solar,San Augustine,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000815,Hot Spring Energy Facility,commercial_solar,Malvern,AR,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000529,Houma,commercial_solar,Houma,LA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221121. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012030,Houston Counties Oil And Gas Production Facilities,commercial_solar,Lovelady,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003983,Houston County Public Works Department,commercial_solar,Kathleen,GA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004524,Houston Gas Plant,commercial_solar,Washington,PA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004130,Houston Refining,commercial_solar,Houston,TX,Director of Facilities,,Petroleum refining — 2022 EPA GHG Reporter. NAICS 324110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013399,Houston Terminal,commercial_solar,Houston,TX,Director of Facilities,,Refrigerated warehousing — 2022 EPA GHG Reporter. NAICS 493190. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011908,Howard Glascock Sour Gas Injection Facility,commercial_solar,Forsan,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000751,Howard M Down,commercial_solar,Vineland,NJ,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013779,Howard University,commercial_solar,Washington,DC,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 611310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005286,Howmet Aerospace Inc. - Cleveland Works,commercial_solar,Cuyahoga Heights,OH,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 332112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007515,Hp Hood Llc,commercial_solar,Winchester,VA,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311511. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006043,"Hpc Holdings, Inc",commercial_solar,North Augusta,SC,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325180. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004282,Hq 101st Airbourne Div,commercial_solar,Fort Campbell,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 928110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013706,"Hrm Resources Iii, Llc",commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010393,Htp Energy,commercial_solar,Onalaska,WI,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 424710. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002047,Hub City Energy,commercial_solar,Watertown,SD,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325193. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012053,Huber Specialty Hydrates,commercial_solar,Benton,AR,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331313. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000762,Hudson Avenue,commercial_solar,New York,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221330. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002062,Hudson Compressor Station,commercial_solar,Brighton,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010609,Hudson Delga Compressor Station,commercial_solar,Fort Worth,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000746,Hudson Generating Station,commercial_solar,Jersey City,NJ,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002695,Hudson Technologies Co,commercial_solar,Champaign,IL,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003934,Hudson Technologies Company,commercial_solar,Atlanta,GA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 424690. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004689,Huff,commercial_solar,Wheeler,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001064,Hugo,commercial_solar,Fort Towson,OK,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005881,Hugoton 1 Cmp Stn,commercial_solar,Garden City,KS,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001814,Hugoton Compressor Station,commercial_solar,Hugoton,KS,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001815,Hugoton Gathering Plant #3,commercial_solar,Hugoton,KS,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011427,"Huhtamaki, Inc.",commercial_solar,Waterville,ME,Director of Facilities,,Pulp & paper — 2022 EPA GHG Reporter. NAICS 322299. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007021,Humboldt Utilities,commercial_solar,Humboldt,TN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013286,Hummel Station Llc,commercial_solar,Selinsgrove,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011918,Humphreys Compressor Station,commercial_solar,Barnesville,OH,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005914,Humphreys County Utility District,commercial_solar,Waverly,TN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000901,Hunlock Creek Energy Center,commercial_solar,Hunlock Creek,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000484,Hunlock Unit 4,commercial_solar,Hunlock Creek,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005879,Hunt Refining Company,commercial_solar,Tuscaloosa,AL,Director of Facilities,,Petroleum refining — 2022 EPA GHG Reporter. NAICS 324110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002798,Hunt Southland Refining Company,commercial_solar,Heidelberg,MS,Director of Facilities,,Petroleum refining — 2022 EPA GHG Reporter. NAICS 324110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001036,Hunter,commercial_solar,Castle Dale,UT,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005463,Hunterdon Cogeneration Limited Partnership,commercial_solar,Clinton,NJ,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 561210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000475,Hunterstown Combined Cycle,commercial_solar,Gettysburg,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001193,Huntington,commercial_solar,Huntington,UT,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007593,Huntington Alloys Corporation,commercial_solar,Huntington,WV,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331491. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011700,"Huntington Energy, L.L.C - 345 Arkoma Basin",commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011699,"Huntington Energy, L.L.C - 355 Chautauqua Platform",commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011724,"Huntington Energy, L.L.C - 360 Andarko Basin",commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001958,Huntington Ingalls Incorporated,commercial_solar,Newport News,VA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336611. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000778,Huntley Power,commercial_solar,Tonawanda,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004615,"Huntsman Advanced Materials Americas, Llc",commercial_solar,Akron,OH,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325211. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002993,Huntsman Petrochemical Llc,commercial_solar,Conroe,TX,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325199. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003244,Huntsville Solid Waste Disposal Authorit,commercial_solar,Huntsville,AL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562213. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002297,Huntsville Utilities,commercial_solar,Huntsville,AL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007306,Huron,commercial_solar,Huron,SD,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002074,Huron Energy,commercial_solar,Huron,SD,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325193. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003540,Huron Landfill Corporation,commercial_solar,Bad Axe,MI,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002165,Huron Real Estate Associates,commercial_solar,Endicott,NY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 531120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005369,Husker Ag L L C,commercial_solar,Plainview,NE,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325193. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010247,Hussmann Technologies Corporation Of America,commercial_solar,San Diego,CA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 335220. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005896,Hutchins Landfill,commercial_solar,Hutchins,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001053,Hutchinson - Plant 2,commercial_solar,Hutchinson,MN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000584,Hutchinson Energy Center,commercial_solar,Hutchinson,KS,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010901,Hutchinson Technology Inc.,commercial_solar,Eau Claire,WI,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 334119. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010902,Hutchinson Technology Inc.,commercial_solar,Hutchinson,MN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 334119. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007431,Hutchinson Utilities - Natural Gas Distribution System,commercial_solar,Hutchinson,MN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001516,Hutsonville,commercial_solar,Hutsonville,IL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011889,"Hydro Extrusion Delhi, Llc",commercial_solar,Delhi,LA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 332813. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013755,Hydro Extrusion Usa,commercial_solar,Monett,MO,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331314. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013130,Hydro Extrusion Usa Llc,commercial_solar,St. Augustine,FL,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331314. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001885,"Hydro Extrusion Usa, Llc",commercial_solar,Cressona,PA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331318. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012481,"Hydro Extrusion Usa, Llc",commercial_solar,Spanish Fork,UT,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 332813. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
